folio_name	MATERIAL_TYPE
A	A
AR	AR
AX	AX
BOOK	BOOK
CD	CD
CH	CH
DVD	DVD
EB	EB
FA	FA
FC	FC
FD	FD
G	G
HB	HB
HS	HS
KIT	KIT
KU	KU
LE	LE
M	M
MA	MA
MAR	MAR
MAS	MAS
MR	MR
OD	OD
PIC	PIC
PN	PN
PT	PT
R	R
RA	RA
SR	SR
ST	ST
TA	TA
TB	TB
TD	TD
TM	TM
VCD	VCD
VT	VT
