keepsite_id	service_point_id
1	3a40852d-49fd-4df2-a1f9-6e2641a6e91f
5	0e42b962-8278-4bd2-998a-12b2992f47cb
24	ba40d992-1bc6-4346-bbbd-f2074d45cb9d
